Station_number,Station_name,Region,rainfall,Mean,Percentile,Years_of_data,latitude,longitude,Elevation
81008,COLBINABBIN,VIC,359.7,509.4,13.6,119,-36.54,144.78,144
81016,ELMORE,VIC,318.3,452.1,14.8,102,-36.50,144.61,130
81019,NAGAMBIE (GOULBURN WEIR),VIC,423.6,541.7,16.1,94,-36.72,145.17,122
81034,MOOROOPNA,VIC,388.4,494.1,21.9,106,-36.40,145.34,108
81046,STANHOPE,VIC,297.6,444.8,12.1,100,-36.44,144.98,108
81049,TATURA INST SUSTAINABLE AG,VIC,313.0,481.0,6.4,79,-36.44,145.27,114
81083,EPPALOCK RESERVOIR,VIC,286.9,510.7,1.8,57,-36.85,144.53,201
81085,DUNOLLY,VIC,425.4,490.3,32.8,123,-36.86,143.73,210
81087,BUNGEET (HIGHLANDS),VIC,471.4,529.7,-1.0,19,-36.26,146.04,274
81115,WANALTA DAEN STATION,VIC,345.6,495.4,8.5,48,-36.63,144.87,115
81120,RUSHWORTH (RAGLUS),VIC,350.6,529.5,6.5,32,-36.58,145.01,160
81125,SHEPPARTON AIRPORT,VIC,402.6,447.1,32.1,29,-36.43,145.39,114
81127,AVOCA RIVER AT ARCHDALE JUNCTION,VIC,386.4,378.3,-1.0,18,-36.89,143.50,-999
82018,UPLANDS (GIBBO RIVER PARK),VIC,938.4,1097.7,29.6,89,-36.77,147.70,610
82029,MILAWA BROWN BROS,VIC,555.9,661.1,24.8,114,-36.46,146.43,158
82039,RUTHERGLEN RESEARCH,VIC,521.8,586.7,37.7,107,-36.10,146.51,175
82041,SPRINGHURST,VIC,606.8,609.2,56.6,107,-36.19,146.47,190
82042,STRATHBOGIE,VIC,744.0,959.5,17.4,122,-36.85,145.73,501
82068,MITTA MITTA,VIC,899.0,1039.1,29.6,72,-36.53,147.37,320
82084,BOHO (HONEYSUCKLE CK U/S VIOLET TOWN),VIC,704.2,799.9,31.8,23,-36.71,145.76,330
82090,DEDERANG,VIC,749.8,961.3,9.5,43,-36.48,147.03,261
